timestamp,dpid,mac,mean_rate,var_rate,max_rate,min_rate,mean_interval,std_interval,burst_count,src_diversity,small_pkt_ratio,class
1757169702.8809423,4,00:00:00:00:00:01,404520.1,0.0,404520.1,404520.1,3.972872257232666,6.814129535272897,0,2.5,0.4,normale
1757169702.8811772,4,00:00:00:00:00:03,0.0,0.0,0.0,0.0,9.963862657546997,9.664129257202148,0,2.5,1.0,normale
1757169702.8819945,3,00:00:00:00:00:01,134895.1,0.0,134895.1,134895.1,3.972803294658661,6.815308561112159,0,2.5,0.4,normale
1757169702.8824432,3,00:00:00:00:00:02,269765.5,0.0,269765.5,269765.5,1.9967440128326417,3.9072556908188605,0,2.5,0.3333333333333333,normale
1757169702.8829103,3,00:00:00:00:00:03,17.7,0.0,17.7,17.7,9.963875532150269,9.662648677825928,0,2.5,1.0,normale
1757169702.883362,1,00:00:00:00:00:01,134877.4,0.0,134877.4,134877.4,1.9862895011901855,5.211488026845909,0,2.6,0.2222222222222222,normale
1757169702.883804,1,00:00:00:00:00:03,60.1,0.0,60.1,60.1,19.926630973815918,0.0,0,2.6,1.0,normale
1757169702.8844056,2,00:00:00:00:00:02,269747.8,0.0,269747.8,269747.8,1.9963251113891602,3.9089435153444843,0,2.6,0.3333333333333333,normale
1757169702.8848834,2,00:00:00:00:00:01,60.1,0.0,60.1,60.1,15.891566276550293,0.0,0,2.6,1.0,normale
1757169712.8853176,4,00:00:00:00:00:01,361788.5,2688798581.42,404520.1,288811.6,3.972872257232666,6.814129535272897,0,2.5,0.4,normale
1757169712.885802,4,00:00:00:00:00:03,1529.0666666666666,3144042.0622222223,4014.8,0.0,9.963862657546997,9.664129257202148,1,2.5,1.0,normale
1757169712.886165,3,00:00:00:00:00:01,141982.69999999998,100759019.28666656,156178.4,134874.6,3.972803294658661,6.815308561112159,0,2.5,0.4,normale
1757169712.886717,3,00:00:00:00:00:02,220092.2333333333,3726402701.175556,269765.5,134108.0,1.9967440128326417,3.9072556908188605,0,2.5,0.3333333333333333,normale
1757169712.8872993,3,00:00:00:00:00:03,1521.7666666666667,3060949.5755555555,3975.2,17.7,9.963875532150269,9.662648677825928,1,2.5,1.0,normale
1757169712.8878634,1,00:00:00:00:00:01,142594.4,116828454.10666676,157880.0,134877.4,1.9862895011901855,5.211488026845909,0,2.6,0.2222222222222222,normale
1757169712.8883836,1,00:00:00:00:00:03,339.0333333333333,184481.42888888888,945.8,11.2,19.926630973815918,0.0,1,2.6,1.0,normale
1757169712.8889418,2,00:00:00:00:00:02,219884.7333333333,3711254950.728888,269747.8,134108.0,1.9963251113891602,3.9089435153444843,0,2.6,0.3333333333333333,normale
1757169712.8894043,2,00:00:00:00:00:01,1206.0333333333335,1633939.3622222226,2989.8,60.1,15.891566276550293,0.0,1,2.6,1.0,normale
1757169722.890014,4,00:00:00:00:00:01,371997.475,2329268447.716876,404520.1,288811.6,3.972872257232666,6.814129535272897,0,2.5,0.4,normale
1757169722.8902352,4,00:00:00:00:00:03,3410.0,12971762.159999996,9052.8,0.0,9.963862657546997,9.664129257202148,1,2.5,1.0,normale
1757169722.8904135,3,00:00:00:00:00:01,173616.125,3077589996.156876,268516.4,134874.6,3.972803294658661,6.815308561112159,1,2.5,0.4,normale
1757169722.8905692,3,00:00:00:00:00:02,198596.175,4181043597.4918756,269765.5,134108.0,1.9967440128326417,3.9072556908188605,0,2.5,0.3333333333333333,normale
1757169722.8907712,3,00:00:00:00:00:03,3402.875,12911417.866875002,9046.2,17.7,9.963875532150269,9.662648677825928,1,2.5,1.0,normale
1757169722.8909426,1,00:00:00:00:00:01,174000.84999999998,3046716645.387501,268220.2,134877.4,1.9862895011901855,5.211488026845909,1,2.6,0.2222222222222222,normale
1757169722.8910983,1,00:00:00:00:00:03,1773.3249999999998,6309938.826874999,6076.2,11.2,19.926630973815918,0.0,1,2.6,1.0,normale
1757169722.89123,2,00:00:00:00:00:02,198440.55,4163000209.5474997,269747.8,134108.0,1.9963251113891602,3.9089435153444843,0,2.6,0.3333333333333333,normale
1757169722.8914194,2,00:00:00:00:00:01,1647.025,1808875.4718750003,2989.8,60.1,15.891566276550293,0.0,2,2.6,1.0,normale
1757169732.8918698,4,00:00:00:00:00:01,378062.77999999997,2010566457.1456006,404520.1,288811.6,3.972872257232666,6.814129535272897,0,2.5,0.4,normale
1757169732.8921027,4,00:00:00:00:00:03,4545.64,15536122.566399997,9088.2,0.0,9.963862657546997,9.664129257202148,2,2.5,1.0,normale
1757169732.8922844,3,00:00:00:00:00:01,192536.1,3893933812.9280005,268516.4,134874.6,3.972803294658661,6.815308561112159,0,2.5,0.4,normale
1757169732.8924735,3,00:00:00:00:00:02,185698.53999999998,4010230832.3664002,269765.5,134108.0,1.9967440128326417,3.9072556908188605,0,2.5,0.3333333333333333,normale
1757169732.892643,3,00:00:00:00:00:03,4541.26,15512815.9264,9094.8,17.7,9.963875532150269,9.662648677825928,2,2.5,1.0,normale
1757169732.892788,1,00:00:00:00:00:01,192843.87999999998,3857612434.6336007,268220.2,134877.4,1.9862895011901855,5.211488026845909,0,2.6,0.2222222222222222,normale
1757169732.892984,1,00:00:00:00:00:03,2634.38,8013613.913600001,6078.6,11.2,19.926630973815918,0.0,2,2.6,1.0,normale
1757169732.893149,2,00:00:00:00:00:02,185574.03999999998,3992588485.9583993,269747.8,134108.0,1.9963251113891602,3.9089435153444843,0,2.6,0.3333333333333333,normale
1757169732.8932965,2,00:00:00:00:00:01,1920.86,1747042.8064,3016.2,60.1,15.891566276550293,0.0,3,2.6,1.0,normale
